size,E_avg_cost_mean,E_avg_cost_min,E_avg_cost_max,D_avg_cost_mean,D_avg_cost_min,D_avg_cost_max,C_avg_cost_mean,C_avg_cost_min,C_avg_cost_max,delta_cost_D_vs_E_pct_mean,delta_cost_D_vs_E_pct_min,delta_cost_D_vs_E_pct_max,delta_cost_C_vs_E_pct_mean,delta_cost_C_vs_E_pct_min,delta_cost_C_vs_E_pct_max,delta_cost_C_vs_D_pct_mean,delta_cost_C_vs_D_pct_min,delta_cost_C_vs_D_pct_max,E_worst_cost_mean,E_worst_cost_min,E_worst_cost_max,D_worst_cost_mean,D_worst_cost_min,D_worst_cost_max,C_worst_cost_mean,C_worst_cost_min,C_worst_cost_max,E_avg_fail_mean,E_avg_fail_min,E_avg_fail_max,D_avg_fail_mean,D_avg_fail_min,D_avg_fail_max,C_avg_fail_mean,C_avg_fail_min,C_avg_fail_max,delta_fail_D_vs_E_pct_mean,delta_fail_D_vs_E_pct_min,delta_fail_D_vs_E_pct_max,delta_fail_C_vs_E_pct_mean,delta_fail_C_vs_E_pct_min,delta_fail_C_vs_E_pct_max,E_cost_std_mean,E_cost_std_min,E_cost_std_max,D_cost_std_mean,D_cost_std_min,D_cost_std_max,C_cost_std_mean,C_cost_std_min,C_cost_std_max,E_online_time_mean,E_online_time_min,E_online_time_max,D_online_time_mean,D_online_time_min,D_online_time_max,C_online_time_mean,C_online_time_min,C_online_time_max,online_time_overhead_pct_mean,online_time_overhead_pct_min,online_time_overhead_pct_max,C_win_rate_vs_E_mean,C_win_rate_vs_E_min,C_win_rate_vs_E_max,D_win_rate_vs_E_mean,D_win_rate_vs_E_min,D_win_rate_vs_E_max
Small,59.64811222657824,35.48525621903077,89.00058504607681,60.01034681298091,35.48525621903077,89.38263611773974,59.48951776934399,35.48525621903077,88.02525989242628,-0.6072082989883298,-5.516016403297608,0.0,0.15190466190618368,-6.10562300385478,4.439686637027199,0.7581913688570713,-0.6616273311360975,4.992923936660076,95.16970018199574,50.51813167685953,150.29241146047866,95.5301200173262,50.51813167685953,150.29241146047866,94.48850368667402,50.51813167685953,145.63536545508472,3.3633333333333333,1.25,5.31,3.3504761904761904,1.25,5.28,3.293333333333333,1.25,5.33,0.4693628289831794,0.0,3.947365824101435,2.003270439430707,-1.3100433820865893,11.516850697513853,12.51861272346635,5.0969587446953835,21.52441708484149,12.751277896260595,5.0969587446953835,21.52441708484149,12.510106555850246,5.0969587446953835,20.978312458622998,0.0004728666542186623,5.804397165775299e-05,0.0009984569763764738,0.00094325476237351,8.798201568424702e-05,0.001868867021985352,0.8754372253938622,0.04606461796909571,2.494687908976339,91728.42710474234,15884.694829111482,302504.36295906664,27.19047619047619,0.0,73.0,1.5714285714285714,0.0,17.0
Medium,371.5812936803332,163.30134962696718,810.6104208678853,372.87026405869415,164.0268405756951,813.0587224017399,365.5699523271467,164.92675855388353,775.9816715709749,-0.41710910686884917,-2.808064661805445,0.0,0.9331825255396772,-2.0305505875202816,4.271934878388922,1.3443309476108152,-0.8184534779667898,4.907267126933937,505.80446682806786,240.37519167497052,1012.0030840552686,510.44999525205094,245.96785870641156,1011.956925690899,492.5683993174302,239.08439893897054,996.3193869879451,14.743888888888888,6.05,25.78,14.714444444444446,6.07,25.76,14.223888888888887,6.18,23.9,0.1602275800720952,-0.3305784577556345,0.9134405866271921,2.4560798188251574,-2.854006272886247,7.617895702624103,50.9567177353836,24.759344499423328,97.07961324504485,51.46444438563878,24.759344499423328,98.00885096773447,50.122331639894675,24.50766151506594,89.29627447555548,0.006900090928603378,0.000811174027621746,0.01918888700194657,0.009748074892235713,0.001736898017115891,0.025789584005251526,10.690402082581487,1.5908522980613633,28.08568513291422,137125.93857521212,45723.456484803886,538785.9826038914,56.833333333333336,36.0,73.0,3.0555555555555554,0.0,21.0
Large,2462.6007541202366,1304.3076639669794,3625.77824390792,2481.6017344200245,1329.3999333800195,3681.819344029612,2351.834861106565,1281.8928427564258,3426.597655594675,-0.8259546404708933,-1.9237998906426295,-0.20065241570358278,4.114141855895473,1.7185225410989398,7.58797525941516,4.901001748145552,2.348500474449872,8.075629361436794,2955.2607632258923,1662.2017788878634,4259.006561383108,2983.7268893729147,1693.100543565442,4319.092360491342,2871.840256366784,1557.12889923,4051.997487100518,57.028888888888886,36.9,75.18,56.78888888888889,36.43,75.01,51.99388888888889,34.69,68.78,0.4352966575384703,0.1065388186637503,1.273712702609409,8.437309735685766,4.145893357494266,12.291916203330459,193.3345989089046,122.22024017129378,259.122952580681,196.96684058090307,130.82738057203662,263.3966943149055,191.79350788945274,115.69709650041543,255.59107468701558,0.07340325930129944,0.02384856397751719,0.12876475534401835,0.08314162158924672,0.031244756067171694,0.15460835710633547,30.389634131464796,13.605151802334003,70.46565581635106,40228.08749185317,13410.286709883221,76664.96939157134,75.77777777777777,59.0,92.0,9.88888888888889,0.0,26.0
