scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
beta,small_8c_1v_seed2,small,8,1,30,OK,8.7,45.4910105254764,45.491010525476405,45.491010525476405,2.0,0.0,0.020980586670339106,0.03470619989093393
beta,small_8c_1v_seed3,small,8,1,30,OK,10.9,34.97176083719559,34.97176083719559,34.97176083719559,2.0,0.0,0.04816916000951702,0.07033660006709397
gamma,small_10c_1v_seed1,small,10,1,30,OK,23.2,45.07846714513142,46.08850226505721,62.54238738875091,1.9333333333333333,9.655254590297151,0.07221545998860772,0.2601473000831902
gamma,small_10c_1v_seed2,small,10,1,30,OK,15.6,54.214288038516955,53.587657390790284,78.69776411035,1.7666666666666666,12.28167642798485,0.035822903357135755,0.12199210014659911
gamma,small_10c_1v_seed3,small,10,1,30,OK,26.6,44.59316082464805,45.873452305581615,64.03370950761317,2.4,9.557467635901434,0.045963263333154224,0.10501719987951219
gamma,small_12c_1v_seed1,small,12,1,30,OK,48.1,44.26971536198381,41.97278208404328,67.5799055809762,1.7666666666666666,9.564439190520376,0.08414631332658852,0.2850939998170361
gamma,small_12c_1v_seed2,small,12,1,30,OK,38.1,53.12181801654572,53.81606745690989,92.4560165871087,2.3666666666666667,13.331150709608941,0.09832988668155546,0.28339200012851506
gamma,small_12c_1v_seed3,small,12,1,30,OK,33.7,39.66839839131727,37.36997484906831,47.61148992356811,1.7333333333333334,5.101199000946418,0.17757345001446084,0.5735951000824571
gamma,small_15c_1v_seed1,small,15,1,30,OK,109.4,53.089524843586666,55.77081120738642,76.76441583664865,3.466666666666667,10.882939902915785,0.18700503999522577,0.4908411998767406
gamma,small_15c_1v_seed2,small,15,1,30,OK,87.4,62.73874679648884,63.131564357028445,100.47883801948527,3.033333333333333,10.805083071069303,0.18489850333426147,0.44798770011402667
gamma,small_15c_1v_seed3,small,15,1,30,OK,88.9,52.83338881334434,51.801919536754895,70.5229557473719,2.6333333333333333,10.60655413322961,0.12468418334998811,0.3355720000108704
gamma,small_16c_1v_seed1,small,16,1,30,OK,97.4,56.32964527336202,56.520724934571696,79.14697299176896,3.1333333333333333,10.07008282583759,0.2601745666625599,0.6599461999721825
gamma,small_16c_1v_seed2,small,16,1,30,OK,190.9,65.81689302536297,66.59620965786713,98.8590951546029,2.933333333333333,13.856326262571304,0.20075135331523294,0.47161409992258996
gamma,small_16c_1v_seed3,small,16,1,30,OK,148.0,46.933888062209704,48.82966681186697,60.91716693159789,3.4,8.192978059832512,0.26233884333632884,0.4887202001409605
gamma,small_18c_2v_seed1,small,18,2,30,OK,41.6,91.91546285755373,91.75053410311223,119.36400975120964,3.6,12.44121763715484,0.1295598600176163,0.28580289997626096
gamma,small_18c_2v_seed2,small,18,2,30,OK,95.0,62.123189785205895,63.81624603856796,85.03502417333274,4.133333333333334,12.073184205990023,0.47131288662785664,1.0563399001257494
gamma,small_18c_2v_seed3,small,18,2,30,OK,240.4,60.04818806040087,59.43416423600292,83.21195911380559,3.2,11.815746303816548,1.3090331466441663,2.5050617997767404
gamma,small_20c_2v_seed1,small,20,2,30,OK,222.9,60.8212878117794,56.821127741258174,75.78138059012679,2.7333333333333334,9.011328628764659,0.24623432001875092,0.48994180001318455
gamma,small_20c_2v_seed2,small,20,2,30,OK,85.6,72.52676889266102,72.70102826667808,110.57198375417873,3.933333333333333,19.535038618414763,0.4187937899997147,1.0309664998203516
gamma,small_20c_2v_seed3,small,20,2,30,OK,107.6,87.18756397225795,87.76871602323764,116.05593878613067,4.0,11.948832754765446,0.17911666667011256,0.6209616000996903
gamma,small_8c_1v_seed1,small,8,1,30,OK,9.1,37.5346598700223,36.16105026904356,48.54733161191555,1.4,4.7654555661473665,0.05141151666563625,0.13417400000616908
gamma,small_8c_1v_seed2,small,8,1,30,OK,8.5,41.67195908902457,39.43666542432103,52.19794797116642,1.2333333333333334,6.5192132648058125,0.026422423329980422,0.08145000005606562
gamma,small_8c_1v_seed3,small,8,1,30,OK,11.3,34.8501477263752,36.75789173632971,44.85669703510622,2.2333333333333334,4.3780295266882705,0.05919075000177448,0.14375149994157255
delta,small_10c_1v_seed1,small,10,1,30,OK,23.9,62.567005417707605,67.65202611254259,90.47234092429862,5.3,10.636812839967277,0.2428561099843743,0.5857928002951667
delta,small_10c_1v_seed2,small,10,1,30,OK,18.7,78.85886439525041,80.59786680129862,107.81732067104338,4.866666666666666,15.48464452758825,0.15910717997467144,0.36579069995786995
delta,small_10c_1v_seed3,small,10,1,30,OK,25.0,65.94351275617785,69.96645206221716,83.67103978576947,5.333333333333333,8.776553695396531,0.12832340998963143,0.21497440012171865
delta,small_12c_1v_seed1,small,12,1,30,OK,48.0,68.5881515787737,68.72832205631467,88.4470309218081,6.033333333333333,10.116894312271818,0.20505874999410784,0.39327119989320636
delta,small_12c_1v_seed2,small,12,1,30,OK,65.2,87.37652693781546,83.24547932279346,120.67675950433932,5.7,15.296695782290184,0.19982231333851813,0.42084410006646067
delta,small_12c_1v_seed3,small,12,1,30,OK,38.0,59.6291043793445,58.59120780945937,76.2626970263639,6.133333333333334,8.630119651500918,0.16615293668194983,0.29615019983612
delta,small_15c_1v_seed1,small,15,1,30,OK,172.2,81.51932270659223,76.98215166201656,100.99640939778857,6.366666666666666,11.989555965249874,0.7686566800073099,1.618747100001201
delta,small_15c_1v_seed2,small,15,1,30,OK,79.6,102.16341942328063,101.32602582647607,124.25681552734048,7.733333333333333,15.016807932400283,0.3989118799722443,0.6010953999357298
delta,small_15c_1v_seed3,small,15,1,30,OK,80.9,81.40824586512623,78.58133177877474,100.32822509498212,6.9,10.094050937063502,0.30725752336050693,0.5206193998456001
delta,small_16c_1v_seed1,small,16,1,30,OK,99.1,91.92108227233138,92.288748340811,121.11902910350902,8.0,15.712997178773758,0.5606791133449103,0.939788700081408
delta,small_16c_1v_seed2,small,16,1,30,OK,125.3,117.81892141677478,121.57367154681417,164.894200575565,8.1,19.08636435460208,0.5113327733473852,0.7989221999887377
delta,small_16c_1v_seed3,small,16,1,30,OK,136.4,70.8910585716535,71.78815033687766,98.71848115681195,7.333333333333333,11.069914449546182,1.5274571733588043,2.667160500306636
delta,small_18c_2v_seed1,small,18,2,30,OK,40.3,128.8942692136456,128.8216859704021,162.57754680043374,8.466666666666667,13.488221843288676,0.25967996995896103,0.3887582999886945
delta,small_18c_2v_seed2,small,18,2,30,OK,98.6,90.86801680334787,87.81461087826132,117.07944979933416,7.9,15.202368469361593,0.7039781233295799,1.1392735001863912
delta,small_18c_2v_seed3,small,18,2,30,OK,225.4,105.67900470992011,102.35952376978122,126.53149288129313,9.366666666666667,14.524922959946394,3.3626135133051624,4.7549244000110775
delta,small_20c_2v_seed1,small,20,2,30,OK,240.9,101.50521098539184,102.10240606751627,123.32636184859399,9.166666666666666,16.14175047198124,0.8421853566542268,1.4139740999089554
delta,small_20c_2v_seed2,small,20,2,30,OK,123.2,143.53711108815298,143.7752340910468,170.65137361325867,9.266666666666667,15.19104626450405,2.290770720007519,3.4358586001908407
delta,small_20c_2v_seed3,small,20,2,30,OK,153.0,100.01407184832448,102.6697390214514,143.92472842245036,9.866666666666667,17.433909241312683,2.7992480933549815,5.445478999987245
delta,small_8c_1v_seed1,small,8,1,30,OK,8.8,46.740565138483404,47.388880753814796,58.82824126047856,3.6666666666666665,6.511009582818645,0.07392112997670969,0.1926400001393631
delta,small_8c_1v_seed2,small,8,1,30,OK,8.2,55.144661583869905,53.88197376735941,79.18215285613442,3.2333333333333334,10.290010485651136,0.05593834333121776,0.14233770011924207
delta,small_8c_1v_seed3,small,8,1,30,OK,9.7,45.32096996415437,44.276367289218435,52.91179025447816,4.2,5.5884360696244135,0.05423195332599183,0.09870420000515878
epsilon,small_10c_1v_seed1,small,10,1,30,OK,27.4,63.099520338754445,64.47480331843745,76.70682533908467,3.5,5.711175002061945,0.2170257066648143,0.3981837999308482
epsilon,small_10c_1v_seed2,small,10,1,30,OK,15.9,80.56115138673113,78.5502550333453,93.67038915097041,4.533333333333333,6.92963824928512,0.1329501666671907,0.1775008001131937
epsilon,small_10c_1v_seed3,small,10,1,30,OK,17.7,63.50620897257254,61.95022666975089,69.70376020982408,3.966666666666667,7.163131740984886,0.04955775000465413,0.08797870017588139
epsilon,small_12c_1v_seed1,small,12,1,30,OK,40.0,62.929806569007525,62.51991715045587,75.32763525568802,5.0,8.181031674070226,0.18130414669867606,0.3005024002632126
epsilon,small_12c_1v_seed2,small,12,1,30,OK,37.7,80.25794972520299,80.07504810235683,94.65207203334356,5.333333333333333,7.673831459987847,0.21563599998674665,0.3585565999383107
epsilon,small_12c_1v_seed3,small,12,1,30,OK,46.3,58.29507370635379,56.040621480864715,62.688150680218975,5.7,3.8805897391292326,0.2728013300181677,0.43297700001858175
epsilon,small_15c_1v_seed1,small,15,1,30,OK,98.1,77.22844866582061,76.03033768786055,92.46949768796372,6.666666666666667,6.936589150550206,0.30789367666002365,0.4054531997535378
epsilon,small_15c_1v_seed2,small,15,1,30,OK,86.2,88.69268411046784,90.62370215358736,111.09109872901203,6.666666666666667,7.757741787892944,0.37620777667422467,0.5622138002654538
epsilon,small_15c_1v_seed3,small,15,1,30,OK,117.0,72.00101042106054,73.99920443623861,84.9638042990533,5.6,10.381307456264372,0.4343004666773292,0.6426471999147907
epsilon,small_16c_1v_seed1,small,16,1,30,OK,92.4,86.06195644346104,85.4128037272546,99.71189621344651,7.2,7.256598201486857,0.4446723666313725,0.7110885998699814
epsilon,small_16c_1v_seed2,small,16,1,30,OK,117.5,105.76062506152928,109.34901132020039,126.59311422847388,6.533333333333333,12.67517549846039,0.42522221998466797,0.769184299861081
epsilon,small_16c_1v_seed3,small,16,1,30,OK,139.9,65.73461400370127,69.42468962277418,83.09163957957122,6.633333333333334,7.894807948541146,0.3609115999774076,0.5538612998789176
epsilon,small_18c_2v_seed1,small,18,2,30,OK,39.8,128.3976206270438,125.77229080784419,141.593542324277,8.033333333333333,10.723876913560806,0.19288595333928243,0.28945639997255057
epsilon,small_18c_2v_seed2,small,18,2,30,OK,94.2,88.86549199675851,96.39331173910385,125.18014762692064,7.633333333333334,14.83977904027808,1.09061888003489,1.7166013002861291
epsilon,small_18c_2v_seed3,small,18,2,30,OK,187.4,92.32679897614295,91.44283506571527,114.1720732010081,8.6,9.46527120283039,2.666466299976067,3.46948620013427
epsilon,small_20c_2v_seed1,small,20,2,30,OK,177.5,95.76279716136357,97.6218250201621,117.97397884500154,9.233333333333333,8.394410775361228,0.851877573338182,1.2813846002100036
epsilon,small_20c_2v_seed2,small,20,2,30,OK,89.2,143.02044239753056,140.60005911570804,158.45365380552784,9.166666666666666,9.45070360573426,0.8560156099731102,2.292138200136833
epsilon,small_20c_2v_seed3,small,20,2,30,OK,118.9,89.97954551542281,94.38265019121245,115.77757001205633,9.0,11.426035247688215,1.1052552400350881,1.4848337998846546
epsilon,small_8c_1v_seed1,small,8,1,30,OK,9.0,47.31448424867854,47.927665053433074,54.2179125566189,3.7333333333333334,3.7975196752631613,0.07847351330565289,0.2084183000260964
epsilon,small_8c_1v_seed2,small,8,1,30,OK,8.9,58.13135130343794,59.451414536649665,79.37037630816437,3.9,5.804668554334373,0.06839087998572116,0.24160959979053587
epsilon,small_8c_1v_seed3,small,8,1,30,OK,10.7,42.961617261998356,42.26329729026061,48.85560591746813,3.5,3.045536314361667,0.1189844466629438,0.260635600076057
