experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,1222.971971239856,0.0,1664.1959191001952,0.0,0.0,0.0,22.0,0.0,1.0909090909090908,0.0,139.0,0.0,24.0,0.0,0.17266187050359713,0.0,313104.0,0.0,53.0,0.0,0.00016927282947519034,0.0,198.0,0.0,344.8981830657149,0.0,15.766535937868014,0.0,664.3072522362733,0.0,0.0,0.0,0.0,0.0,0.1619006850985035,0.0,0.2820164248867087,0.0,0.012891984696823271,0.0,0.5431909053179647,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1883.0631376496058,0.0,3.6458151550015376,0.0,1222.9720+/-0.0000,1664.1959+/-0.0000,0.0000+/-0.0000,22.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,1262.8088074150382,0.0,1701.880391499959,0.0,0.0,0.0,32.0,0.0,1.15625,0.0,139.0,0.0,37.0,0.0,0.26618705035971224,0.0,313104.0,0.0,58.0,0.0,0.0001852419643313404,0.0,198.0,0.0,317.9433214502925,0.0,21.89711695994737,0.0,724.9683690047984,0.0,0.0,0.0,0.0,0.0,0.15679333152997624,0.0,0.25177471014089653,0.0,0.017340009692180268,0.0,0.574091948636947,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1877.844767826653,0.0,1.7361495954924542,0.0,1262.8088+/-0.0000,1701.8804+/-0.0000,0.0000+/-0.0000,32.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,1262.9019351444392,0.0,1569.9215726000257,0.0,0.0,0.0,31.0,0.0,1.1612903225806452,0.0,139.0,0.0,36.0,0.0,0.2589928057553957,0.0,313104.0,0.0,61.0,0.0,0.0001948234452450304,0.0,198.0,0.0,328.8251150174138,0.0,25.072138637798524,0.0,711.004681489227,0.0,0.0,0.0,0.0,0.0,0.15678176942325658,0.0,0.2603726432486666,0.0,0.019852799287167933,0.0,0.5629927880409089,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1880.8874970102206,0.0,1.0575896019688689,0.0,1262.9019+/-0.0000,1569.9216+/-0.0000,0.0000+/-0.0000,31.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,1268.8803105346751,0.0,1548.660411800025,0.0,0.0,0.0,20.0,0.0,1.0,0.0,139.0,0.0,20.0,0.0,0.14388489208633093,0.0,313104.0,0.0,56.0,0.0,0.00017885431038888036,0.0,198.0,0.0,359.28488364361186,0.0,17.570165108042215,0.0,694.0252617830208,0.0,0.0,0.0,0.0,0.0,0.1560430864567263,0.0,0.28315112202522713,0.0,0.013846983803096903,0.0,0.5469588077149495,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1907.4781487553566,0.0,6.839276569967512,0.0,1268.8803+/-0.0000,1548.6604+/-0.0000,0.0000+/-0.0000,20.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,1190.917778701541,0.0,2652.98852350004,0.0,0.0,0.0,20.0,0.0,1.45,0.0,136.0,0.0,29.0,0.0,0.21323529411764705,0.0,160158.0,0.0,64.0,0.0,0.0003996053896776933,0.0,176.0,0.0,349.1862320820293,0.0,13.721834879915376,0.0,652.0097117395965,0.0,0.0,0.0,0.0,0.0,0.14778518143535735,0.0,0.29320767422142896,0.0,0.0115220673713313,0.0,0.5474850769718824,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1298.5999461514218,0.0,5.628092306369022,0.0,1190.9178+/-0.0000,2652.9885+/-0.0000,0.0000+/-0.0000,20.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,1207.1145464268802,0.0,2627.9893682000693,0.0,0.0,0.0,26.0,0.0,1.4230769230769231,0.0,136.0,0.0,37.0,0.0,0.27205882352941174,0.0,160158.0,0.0,58.0,0.0,0.0003621423843954095,0.0,176.0,0.0,296.3322933567022,0.0,19.91713216650175,0.0,714.8651209036763,0.0,0.0,0.0,0.0,0.0,0.14580223601891706,0.0,0.24548813054557309,0.0,0.01649978639181962,0.0,0.5922098470436903,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1262.4154795939103,0.0,3.8070217724456437,0.0,1207.1145+/-0.0000,2627.9894+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,1207.0173194660151,0.0,2515.834409999894,0.0,0.0,0.0,27.0,0.0,1.4814814814814814,0.0,136.0,0.0,40.0,0.0,0.29411764705882354,0.0,160158.0,0.0,57.0,0.0,0.00035589855018169556,0.0,176.0,0.0,317.17183300165914,0.0,21.506919474747516,0.0,692.3385669896086,0.0,0.0,0.0,0.0,0.0,0.1458139805962871,0.0,0.2627732244488224,0.0,0.017818236016913316,0.0,0.5735945589379773,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1301.001719936138,0.0,9.08921495298711,0.0,1207.0173+/-0.0000,2515.8344+/-0.0000,0.0000+/-0.0000,27.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,1203.5716618123488,0.0,1993.8685713000596,0.0,0.0,0.0,26.0,0.0,1.3076923076923077,0.0,136.0,0.0,34.0,0.0,0.25,0.0,160158.0,0.0,57.0,0.0,0.00035589855018169556,0.0,176.0,0.0,299.03382586330156,0.0,22.228745488371143,0.0,706.309090460676,0.0,0.0,0.0,0.0,0.0,0.14623142566764796,0.0,0.24845535612978276,0.0,0.018468983770271646,0.0,0.5868442344322976,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1268.4147664640125,0.0,3.859835510956121,0.0,1203.5717+/-0.0000,1993.8686+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,1205.5485941958582,0.0,1764.621502300026,0.0,0.0,0.0,29.0,0.0,1.1724137931034482,0.0,136.0,0.0,34.0,0.0,0.25,0.0,160158.0,0.0,59.0,0.0,0.0003683862186091235,0.0,198.0,0.0,318.76626083608346,0.0,23.66439687948208,0.0,665.1179364802928,0.0,0.0,0.0,0.0,0.0,0.16424057972716788,0.0,0.2644159367534341,0.0,0.019629566981716765,0.0,0.5517139165376813,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1317.513521321216,0.0,3.962221765831906,0.0,1205.5486+/-0.0000,1764.6215+/-0.0000,0.0000+/-0.0000,29.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,1173.5883082296891,0.0,1552.9198764001485,0.0,0.0,0.0,28.0,0.0,1.1785714285714286,0.0,136.0,0.0,33.0,0.0,0.2426470588235294,0.0,160158.0,0.0,56.0,0.0,0.0003496547159679816,0.0,176.0,0.0,278.1434529429906,0.0,23.7318431846833,0.0,695.7130121020153,0.0,0.0,0.0,0.0,0.0,0.1499674108593404,0.0,0.23700257662123345,0.0,0.020221608393902486,0.0,0.5928084041255238,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1254.1181528678137,0.0,6.038507596737518,0.0,1173.5883+/-0.0000,1552.9199+/-0.0000,0.0000+/-0.0000,28.0000+/-0.0000
