experiment,instance_class,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,instance_count,z_total_mean_across_instances_mean,z_total_mean_across_instances_std,solve_seconds_mean_across_instances_mean,solve_seconds_mean_across_instances_std,unserved_count_mean_across_instances_mean,unserved_count_mean_across_instances_std,sortie_count_mean_across_instances_mean,sortie_count_mean_across_instances_std,avg_customers_per_sortie_mean_across_instances_mean,avg_customers_per_sortie_mean_across_instances_std,drone_utilization_mean_across_instances_mean,drone_utilization_mean_across_instances_std,sortie_feasible_rate_mean_across_instances_mean,sortie_feasible_rate_mean_across_instances_std,online_success_rate_mean_across_instances_mean,online_success_rate_mean_across_instances_std,mc_mean_mean_across_instances_mean,mc_mean_mean_across_instances_std,mc_std_mean_across_instances_mean,mc_std_mean_across_instances_std,z_fixed_ratio_mean_across_instances_mean,z_fixed_ratio_mean_across_instances_std,z_truck_ratio_mean_across_instances_mean,z_truck_ratio_mean_across_instances_std,z_drone_ratio_mean_across_instances_mean,z_drone_ratio_mean_across_instances_std,z_fail_expected_ratio_mean_across_instances_mean,z_fail_expected_ratio_mean_across_instances_std,z_unserved_penalty_ratio_mean_across_instances_mean,z_unserved_penalty_ratio_mean_across_instances_std
5.1,deterministic,large,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,3,1194.7432183810313,33.52640525220921,2906.6542386667184,1759.1426493842316,0.0,0.0,25.0,2.6457513110645907,1.2439782439782439,0.13318029045231056,0.22721822541966427,0.04746066302881242,0.0002509554815166598,9.546242791502861e-05,69.11111111111111,7.897491397296381,1515.1647968715015,324.73964938011017,3.882377723802209,0.2486013758909887,0.1597209798990399,0.012542564993717283,0.27339337395409985,0.021936725884573814,0.01696579477654704,0.00356816468820438,0.5499198513703132,0.034062099140294295,0.0,0.0
5.1,deterministic,large,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,3,1853.4882220771271,76.0504547467357,2959.913348499996,1979.86293200528,0.0,0.0,24.333333333333332,3.511884584284246,1.3511904761904763,0.10829407975393007,0.23665185498659896,0.019503567919077754,0.00024993881243583183,9.066416236756886e-05,69.11111111111111,7.897491397296381,2550.3297776065965,643.2790104293994,5.2503822103645215,1.0064400104673752,0.10282884294089437,0.00425842159606785,0.2019032856865547,0.021055970593894007,0.010537001800990108,0.001473001657806023,0.6847308695715608,0.02321299697026326,0.0,0.0
5.1,deterministic,large,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,3,2422.006811264904,41.12476147584553,3094.0589089999753,2018.2930431086609,0.0,0.0,22.666666666666668,2.309401076758503,1.2555555555555555,0.15840641588203613,0.20782197771194807,0.044558844182196716,0.0002511629794513861,9.023744182060123e-05,69.11111111111111,7.897491397296381,3621.275168682975,903.1198605401235,8.482900386760186,3.093610669854405,0.08176625798649215,0.0014018504209253907,0.18436208406934257,0.00630413436561454,0.007542238048573702,0.0011083680406777888,0.7263294198955915,0.008027948458605064,0.0,0.0
5.1,deterministic,large,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,3,3641.733593170303,147.17585212844344,3341.1930027000294,2435.2548795930397,0.0,0.0,22.0,2.6457513110645907,1.2223175692855328,0.06702188722293789,0.19588446889547184,0.035164453276825346,0.0002522275884417961,8.885298894400733e-05,69.11111111111111,7.897491397296381,5627.780787289461,1502.1051677885982,8.743954711156936,4.285150421539929,0.05442908608231741,0.0022044010688350222,0.13097255451357886,0.012657778755503238,0.00480405422749742,0.0004836805498746065,0.8097943051766063,0.012775424340157361,0.0,0.0
5.1,deterministic,large,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,3,6717.645062521555,229.46274563112618,3660.8320008666874,2226.0053149852156,0.0,0.0,27.666666666666668,0.5773502691896257,1.3505291005291005,0.08327032135204832,0.2704894907603329,0.008766113738953921,0.0002511629794513861,9.023744182060123e-05,69.11111111111111,7.897491397296381,10567.336896945648,3077.8893413649803,13.010509388661477,2.443205260735112,0.02949790208179781,0.001022713758876447,0.06404815375407938,0.006223648969779655,0.0034198013244389498,0.00022038698862776417,0.9030341428396839,0.005435793139071812,0.0,0.0
5.1,deterministic,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,3,304.3501949531192,26.29653150557709,1598.194438700021,560.6555667234339,0.0,0.0,8.333333333333334,2.0816659994661326,1.3074074074074074,0.16715976439106306,0.18590437959305042,0.02450550646836472,0.00030260769592778153,6.83925326485551e-05,73.88888888888889,3.4694433324435563,373.66917160921304,16.654847874638577,1.4447921682886613,1.102006067547664,0.21797791823388202,0.019500044948974393,0.31357110036065994,0.041374878592720155,0.022278616323275553,0.0036155468102502517,0.4461723650821825,0.025312582289949415,0.0,0.0
5.1,deterministic,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,3,440.1591853980655,34.6458740723231,1519.4935493332644,430.56683801198926,0.0,0.0,7.666666666666667,1.5275252316519468,1.5231481481481481,0.34925331875078325,0.20363585517465982,0.06688515979022949,0.000308659939621428,7.092057791941159e-05,73.88888888888889,3.4694433324435563,597.2462926537883,17.295361162431686,2.8813086587331878,2.1595926781018924,0.16608161080690048,0.018785892305588244,0.2380617497344178,0.03407770984921681,0.016399203102987224,0.003669419035629905,0.5794574363556945,0.0476172278349759,0.0,0.0
5.1,deterministic,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,3,559.2097816694063,32.67042652587092,1613.030806499999,634.9159155696022,0.0,0.0,10.0,1.0,1.4427609427609427,0.14985056438702807,0.2501486767766875,0.012935520404111884,0.0003173241725961764,6.5039113806779e-05,73.88888888888889,3.4694433324435563,825.553169277568,37.38504158594653,1.6570201379600338,1.5335648368646841,0.15772424183637143,0.009230967680924622,0.19940403673054605,0.043369975253093385,0.01490272704306452,0.001850678364584201,0.627968994390018,0.040073621927721875,0.0,0.0
5.1,deterministic,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,3,787.4507195963811,32.71177948395897,1721.0296089000378,1034.083791273158,0.0,0.0,9.0,1.7320508075688772,1.1325757575757576,0.13652137341621287,0.17945109950016283,0.051112710353429694,0.0003173241725961764,6.5039113806779e-05,73.88888888888889,3.4694433324435563,1269.4412300195552,43.723338298771054,2.8437825536194623,0.7468589800575919,0.11188248869913868,0.0046760160062305,0.18810570406142724,0.044327686790213774,0.008698963420266699,0.0021095565824385005,0.6913128438191674,0.03790064908742966,0.0,0.0
5.1,deterministic,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,3,1329.7070891334417,112.6204746828471,1912.8877895666908,711.7539903203945,0.0,0.0,9.0,0.0,1.0740740740740742,0.1283000598199169,0.16874637157866418,0.02138307475547358,0.0003173241725961764,6.5039113806779e-05,73.88888888888889,3.4694433324435563,2311.8764345152017,96.69837346076821,4.497675910413033,0.5088740634880828,0.06649234075462607,0.005537626719205099,0.11342167869771223,0.008156769428881053,0.005044489520199534,0.0005898687224423229,0.8150414910274622,0.002522878771102088,0.0,0.0
