scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
gamma,large_250c_15v_seed2,large,250,15,30,OK,4806.3,2335.817233702875,2315.6425828978768,2719.6556290385624,50.6,160.58720522832297,14.477225380111486,19.969011000241153
gamma,large_250c_15v_seed3,large,250,15,30,OK,5382.2,2146.330372377258,2139.7145390555793,2395.4453334694954,47.56666666666667,132.09210944292573,13.90962315001525,21.325964999035932
gamma,large_280c_18v_seed1,large,280,18,30,OK,4367.8,2730.495843252374,2710.179532142757,3273.5047872378896,55.733333333333334,218.14673145253545,10.717153760049648,16.60844470001757
gamma,large_280c_18v_seed2,large,280,18,30,OK,8606.9,2697.304417029469,2697.2023908896526,3168.9612879927663,55.1,242.86056448563482,12.306101586658041,21.614606299670413
gamma,large_280c_18v_seed3,large,280,18,30,OK,7250.8,2686.032769739084,2722.2117046658427,3204.6524798276673,53.833333333333336,212.17034120915892,8.625454850223226,13.373670200351626
gamma,large_300c_20v_seed1,large,300,20,30,OK,4668.5,2838.8646044711495,2757.9697236054767,3120.440360530485,57.53333333333333,236.66702747025428,18.298286430079802,26.717411098303273
gamma,large_300c_20v_seed2,large,300,20,30,OK,3947.0,2941.0472810117135,2959.164860424061,3409.2700758305095,58.666666666666664,236.13581506027975,10.08510848004371,13.677415899932384
gamma,large_300c_20v_seed3,large,300,20,30,OK,4525.0,2907.46073055892,2871.9554920282562,3361.2698764279394,55.7,222.81100515969004,11.297589146795993,15.421375699108467
delta,large_150c_9v_seed1,large,150,9,30,OK,7467.3,1986.7107642525166,1924.6807556697065,2181.1193988735895,69.83333333333333,145.2171323306005,47.450362050331506,67.15313580119982
delta,large_150c_9v_seed2,large,150,9,30,OK,2038.9,2094.152268917685,2023.0606591424557,2315.697926565485,68.2,161.8697249981685,10.809635663249841,13.163181000156328
delta,large_150c_9v_seed3,large,150,9,30,OK,2447.6,2013.107640388875,1988.1605185917845,2222.0763146993795,73.2,101.64186186898999,15.08792537317301,19.85069069894962
delta,large_180c_11v_seed1,large,180,11,30,OK,2990.4,2833.1864496619796,2848.1173314368016,3090.4455804272493,90.1,137.77520604967117,19.7863892167729,28.414002700941637
delta,large_180c_11v_seed2,large,180,11,30,OK,3675.7,2738.286732120813,2665.059183632368,3066.6967291534397,86.66666666666667,171.95113838487555,15.311190936629039,23.960820398991928
delta,large_180c_11v_seed3,large,180,11,30,OK,2337.2,2737.9582590072055,2721.0927429306266,3123.6194982042825,88.1,164.8825906921702,12.065191093304504,14.369669600622728
