scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
gamma,medium_60c_4v_seed2,medium,60,4,30,OK,5330.8,301.84001527132125,286.249904880241,373.98963385511917,11.0,44.29964957382384,1.6961573999530326,2.9352041000965983
gamma,medium_60c_4v_seed3,medium,60,4,30,OK,1075.4,260.45103365575125,254.21078489015224,324.20015517296457,11.533333333333333,34.608249830214945,2.3188642633496785,4.297661299933679
gamma,medium_80c_5v_seed1,medium,80,5,30,OK,1281.9,359.58011857865216,360.84038481133274,524.3336635031749,16.033333333333335,54.52122230239772,4.45304935326955,8.80542719992809
gamma,medium_80c_5v_seed2,medium,80,5,30,OK,1225.9,373.0233814579625,373.9065200178181,455.2963683459898,15.7,41.022904397225226,6.818166926677804,11.769843600108288
gamma,medium_80c_5v_seed3,medium,80,5,30,OK,1628.1,365.422364631638,369.33454674171855,466.0254081088857,16.266666666666666,41.13164961271335,4.032425350082728,6.0949315001489595
delta,medium_100c_7v_seed1,medium,100,7,30,OK,1628.3,1098.7970707982895,1073.1695761077897,1219.2842458360237,46.63333333333333,76.71056516507234,5.157475683403512,6.903989500016905
delta,medium_100c_7v_seed2,medium,100,7,30,OK,3184.4,1184.944457100955,1140.9817058171882,1317.495640630912,47.13333333333333,104.61127663086864,17.195339069864712,23.676699699484743
delta,medium_100c_7v_seed3,medium,100,7,30,OK,1783.9,1208.9964092554967,1230.660951220488,1379.2853221984562,50.3,84.98174190989852,6.603491639978407,8.33251470013056
delta,medium_30c_2v_seed1,medium,30,2,30,OK,776.8,249.9290496078202,240.5259436573814,293.2148632250755,14.566666666666666,27.228294558086315,8.04013398992829,11.025675899698399
delta,medium_30c_2v_seed2,medium,30,2,30,OK,274.5,270.40572486538895,268.19988634104163,326.1340478766279,15.4,35.4900673505946,0.9547022633370943,1.3673365999711677
delta,medium_30c_2v_seed3,medium,30,2,30,OK,269.7,221.96801149992137,223.3628426048108,287.6496298287552,14.4,26.141637868423835,2.8244885366914483,4.854047899949364
delta,medium_40c_3v_seed1,medium,40,3,30,OK,517.2,301.28272523269504,300.81081183359004,369.4363582584576,19.4,30.619482817888382,8.360661586668963,11.909790300065652
delta,medium_40c_3v_seed2,medium,40,3,30,OK,3203.6,293.3748792509799,284.3087565914078,386.58146653363787,19.033333333333335,41.17491300057581,6.305660400097258,10.755321000353433
delta,medium_40c_3v_seed3,medium,40,3,30,OK,693.1,247.93494886024695,248.12182629443757,305.165823529995,19.266666666666666,28.684736004099825,3.9317349767351213,6.213316299952567
delta,medium_50c_3v_seed1,medium,50,3,30,OK,941.8,414.15150348845316,405.76946373457207,480.6307948802239,23.3,27.888929774398797,5.465931323372448,8.058269500150345
delta,medium_50c_3v_seed2,medium,50,3,30,OK,996.6,422.93511809072635,421.53450180353843,509.82616036621823,24.233333333333334,42.4852172052038,3.379796303354669,5.70356409996748
delta,medium_50c_3v_seed3,medium,50,3,30,OK,922.8,388.2901743488608,372.65895973343083,420.2725029110215,23.966666666666665,29.558445367402275,4.295759216645577,5.977540300344117
delta,medium_60c_4v_seed1,medium,60,4,30,OK,1107.9,526.0357895470172,539.1782832351229,631.5118937656141,28.366666666666667,56.861684077136275,7.893676530042042,12.225532799842767
delta,medium_60c_4v_seed2,medium,60,4,30,OK,5349.7,570.2303509894523,569.8534366541354,695.4060297634121,31.566666666666666,58.44840782430998,6.333108733283977,9.37660990038421
delta,medium_60c_4v_seed3,medium,60,4,30,OK,1618.0,464.9779529688174,454.5003850315394,550.0572788355764,27.666666666666668,47.73307945790394,5.715499669926552,8.425971599994227
delta,medium_80c_5v_seed1,medium,80,5,30,OK,1435.5,662.1292829292227,653.2137687636726,753.2515570801961,39.166666666666664,44.910796459443205,5.588097616653735,8.184055699734017
delta,medium_80c_5v_seed2,medium,80,5,30,OK,1144.1,650.5731557740545,665.6831113598583,795.6771257343096,41.1,52.14895296241108,5.03803862001126,6.558026200043969
delta,medium_80c_5v_seed3,medium,80,5,30,OK,2170.9,632.9408272846126,644.0409878808547,702.5062357674485,41.733333333333334,39.626218923669065,7.273316866632862,10.195045199943706
epsilon,medium_100c_7v_seed1,medium,100,7,30,OK,1623.7,1080.3382539113766,1048.185688622854,1192.7905828670314,43.06666666666667,63.123582086234386,5.826353133279675,6.972567999386229
epsilon,medium_100c_7v_seed2,medium,100,7,30,OK,1845.7,1149.6886142516462,1115.496298889222,1252.057584077418,44.4,47.2679473774201,19.257946476712824,24.89279870002065
epsilon,medium_100c_7v_seed3,medium,100,7,30,OK,1233.8,1044.0813342694114,1044.3504807302782,1184.3754723157722,41.93333333333333,73.94581690892697,8.133917216599608,9.333840700681321
epsilon,medium_30c_2v_seed1,medium,30,2,30,OK,425.4,212.33984894021648,209.46908112347924,242.15546249626527,13.533333333333333,19.258562181846973,0.9197277400293388,1.3727857002522796
epsilon,medium_30c_2v_seed2,medium,30,2,30,OK,280.8,244.84417129517573,246.68228161128334,288.9742454593168,12.2,24.339223251358508,0.7665983199879217,1.0393211997579783
epsilon,medium_30c_2v_seed3,medium,30,2,30,OK,265.0,224.65205905218076,208.5599497053441,241.36536599400506,12.8,13.141740962059824,1.7687079833083166,2.0686349999159575
epsilon,medium_40c_3v_seed1,medium,40,3,30,OK,316.2,310.2258567164601,309.0411558067099,346.6778546662885,16.866666666666667,15.567487078910407,0.7784083100191007,1.0674655998591334
epsilon,medium_40c_3v_seed2,medium,40,3,30,OK,2001.4,291.94310789821066,295.34020015848324,340.114310782816,18.833333333333332,23.41121920157497,5.300854146589215,7.159107499872334
epsilon,medium_40c_3v_seed3,medium,40,3,30,OK,877.6,246.42680909306404,246.5484602248828,278.76736682318307,17.766666666666666,14.828248746228219,10.850076823375032,13.259817300131544
epsilon,medium_50c_3v_seed1,medium,50,3,30,OK,970.2,373.37719319580435,400.2135248902601,432.8576377503965,23.266666666666666,22.623307157378434,7.3406670634013915,8.767651800531894
epsilon,medium_50c_3v_seed2,medium,50,3,30,OK,942.1,390.00426000157415,404.1082736268823,455.19668671775287,22.6,22.30962814377939,4.114801953341035,5.428806899813935
epsilon,medium_50c_3v_seed3,medium,50,3,30,OK,915.5,356.3428797365714,347.49511476931855,391.81668146344884,22.5,21.07659403022899,3.551855146687012,4.794737600139342
epsilon,medium_60c_4v_seed1,medium,60,4,30,OK,1290.4,517.9841166604858,499.26970644789907,552.4089115484566,25.933333333333334,34.57381285323321,7.837480473343748,10.08509070018772
epsilon,medium_60c_4v_seed2,medium,60,4,30,OK,3999.9,470.86227334727243,473.5276368809853,542.3232947246535,27.833333333333332,34.277163562695776,18.1255823366732,23.540573100093752
epsilon,medium_60c_4v_seed3,medium,60,4,30,OK,1418.5,433.6560849221617,428.06114533804964,498.9587003267876,26.1,29.678428774780077,11.431858739974754,15.584182900143787
epsilon,medium_80c_5v_seed1,medium,80,5,30,OK,1740.7,544.9090799727747,543.4572767621528,606.568515412753,34.166666666666664,33.304048031473634,13.187856576611132,16.853010200429708
epsilon,medium_80c_5v_seed2,medium,80,5,30,OK,1311.3,590.4222927357619,584.7261785598689,662.1995350050539,34.766666666666666,34.85271153376453,6.388836690011279,7.433998300228268
epsilon,medium_80c_5v_seed3,medium,80,5,30,OK,1550.3,593.8210635727642,603.706330696288,666.1401574843883,36.666666666666664,35.55599033951513,11.692360619979445,14.947849299875088
