size,algorithm,n_instances,obj_mean,obj_min,obj_max,delta_mean,delta_min,delta_max,time_mean,time_min,time_max
Small,ACO_ALNS,21,34.33076290444862,28.001369564285756,39.64887504180481,,,,100.4855808667129,9.50963590014726,285.92650870024227
Small,Pure_ACO,21,42.3509774008798,27.998028104824677,69.73668645441145,12.642751401519972,-0.011934624283428941,43.14488247484453,10.040593766666937,0.6758587000222178,34.20985849999124
Small,Pure_ALNS,21,40.5158738455389,28.01737950808532,67.73843612316588,9.715677185432597,-0.3815053298710628,42.09489846628532,10.310875142857098,0.98772050000116,29.570015000004787
Medium,ACO_ALNS,18,121.10400546746352,53.68570947355334,241.11307806697553,,,,4150.3643299055075,370.14070239989087,16135.392635999247
Medium,Pure_ACO,18,167.44197880112478,85.84531245414958,329.23414380675763,26.79854011812227,6.504279644333839,40.15199448757059,205.63680632222128,42.38228489999892,416.3536102999933
Medium,Pure_ALNS,18,144.32231842767044,75.09196392696859,304.0075900812685,15.323147660407427,0.251196147060728,36.37808810265138,1289.0164877000004,117.66423239999858,3019.9414289999986
Large,ACO_ALNS,18,689.841960188622,320.7294666506418,1052.571880959098,,,,19128.468526849938,10823.563201800454,29928.930334299803
Large,Pure_ACO,18,823.4713110018633,476.6573465097121,1187.2921699106917,17.991828046227486,9.558178274344801,33.34410539348758,868.8841125555563,526.858739200019,1378.174706699996
Large,Pure_ALNS,18,738.6273932140913,402.20933243251864,1187.2921699106917,7.6126046625620045,-8.456040144220841,25.354708206516275,12186.979086666652,5295.197966899956,22217.073809500085
