instance,size,n_customers,n_vehicles,seed,ACO_obj_final,ALNS_obj_final,ACO_ALNS_obj_final,delta_vs_ACO_pct,delta_vs_ALNS_pct,ACO_time_s,ALNS_time_s,ACO_ALNS_time_s,ACO_obj_initial,ALNS_obj_initial,ACO_ALNS_obj_initial
small_8c_1v_seed1,Small,8,1,1,29.294488590261764,29.294488590261764,29.294488590261764,0.0,0.0,0.6758587000222178,0.98772050000116,9.752712800167501,29.447464253749814,29.447464253749814,29.447464253749814
small_8c_1v_seed2,Small,8,1,2,30.96464198361426,30.964641983614257,30.964641983614257,1.147345311042353e-14,0.0,0.8617553999938536,1.144198800000595,9.50963590014726,31.15755893088074,31.15755893088074,31.15755893088074
small_8c_1v_seed3,Small,8,1,3,27.998028104824677,28.01737950808532,28.001369564285756,-0.011934624283428941,0.057142902300849174,0.9270697999891127,1.0583880999984103,11.134523599874228,28.173010254043092,28.173010254043092,28.173010254043092
small_10c_1v_seed1,Small,10,1,1,33.26931191525434,32.32782488523465,32.284468956957205,2.960214388580652,0.1341133479637376,1.2168683999916539,2.909056300006341,29.247889299644157,33.26931191525434,33.26931191525434,33.26931191525434
small_10c_1v_seed2,Small,10,1,2,37.481947626132396,37.580818046359155,37.41700536646466,0.1732627672273373,0.43589439615822395,1.583444599964423,1.7864539000001969,16.89551020017825,38.00580118158476,38.00580118158476,38.00580118158476
small_10c_1v_seed3,Small,10,1,3,31.5975054620256,32.24529197564859,31.518649498140945,0.2495638903502266,2.2534839444356742,1.929371699981857,2.4837047000037273,22.81248960038647,32.57738942821115,32.57738942821115,32.57738942821115
small_12c_1v_seed1,Small,12,1,1,31.30944521021397,31.144814697733203,31.144814697733203,0.5258174054999202,0.0,3.4710525999835227,9.482824499995331,70.63678240007721,31.30944521021397,31.30944521021397,31.30944521021397
small_12c_1v_seed2,Small,12,1,2,33.63110794721696,33.42428891136325,33.42418311177281,0.6152780805464717,0.0003165350524484539,6.996704000004684,4.608586300000752,33.23718299996108,33.63110794721696,33.63110794721696,33.63110794721696
small_12c_1v_seed3,Small,12,1,3,29.558196522873825,29.5524372556739,29.4751062044142,0.28110753778676983,0.2616740223172432,7.024235300006694,6.243826400001126,44.39244690001942,29.567933627014657,29.567933627014657,29.567933627014657
small_15c_1v_seed1,Small,15,1,1,35.2573612822075,34.83020720301666,34.963086299901306,0.8346483446414252,-0.3815053298710628,23.038854300015373,24.252422800000204,285.92650870024227,35.39046737139602,35.39046737139602,35.39046737139602
small_15c_1v_seed2,Small,15,1,2,40.089716260531986,38.61468597112751,38.348699723881545,4.342800845324163,0.6888214692328254,14.52534160000505,12.295500999996875,135.11518949992023,40.089716260531986,40.089716260531986,40.089716260531986
small_15c_1v_seed3,Small,15,1,3,36.17968880242868,35.0683003673326,35.0683003673326,3.071857364957424,0.0,18.633972000010544,10.337867100002768,110.58946679974906,36.62919869276415,36.62919869276415,36.62919869276415
small_16c_1v_seed1,Small,16,1,1,33.58876921174644,33.00732969304999,33.00732969304999,1.731053362006226,0.0,24.325653500010958,9.050984299996344,95.50278720003553,33.58876921174644,33.58876921174644,33.58876921174644
small_16c_1v_seed2,Small,16,1,2,36.82375556627146,36.405825512283805,36.335316831245315,1.326422923232541,0.19367417177423785,34.20985849999124,29.50937989999875,244.2657580000814,36.82375556627146,36.82375556627146,36.82375556627146
small_16c_1v_seed3,Small,16,1,3,31.107354698814188,31.06427673760255,31.048812728740643,0.18819334090075046,0.049780682140232915,22.60154920000059,29.570015000004787,187.44653310021386,31.107354698814188,31.107354698814188,31.107354698814188
small_18c_2v_seed1,Small,18,2,1,64.11372265963534,64.11372265963534,37.12511620310608,42.09489846628532,42.09489846628532,2.8426389999949606,6.558761100004631,59.5779502002988,64.11372265963534,64.11372265963534,64.11372265963534
small_18c_2v_seed2,Small,18,2,2,62.726778893014156,61.190929328831494,37.51263633134785,40.19677561424152,38.69575647436209,2.9823488000110956,11.55648029999793,132.40925619984046,62.726778893014156,62.726778893014156,62.726778893014156
small_18c_2v_seed3,Small,18,2,3,63.946895602230406,36.41738516554165,36.39249360044447,43.08950691396013,0.06835077527954372,7.414517299985164,22.11084089999349,166.7073856999632,64.81037994300212,64.81037994300212,64.81037994300212
small_20c_2v_seed1,Small,20,2,1,65.33427874234333,63.26639319081701,38.58950767582486,40.93528172552566,39.0047294786736,8.972497000024305,14.209036299998843,227.30233300011605,68.61791682425685,68.61791682425685,68.61791682425685
small_20c_2v_seed2,Small,20,2,2,69.73668645441145,67.73843612316588,39.64887504180481,43.14488247484453,41.467684654377074,8.47123140002077,7.3989543999996386,98.46110090008005,69.73668645441145,69.73668645441145,69.73668645441145
small_20c_2v_seed3,Small,20,2,3,65.36084388242315,64.56387294993816,39.3811185230968,39.748148610291764,39.004404903602484,18.14764599999762,8.973375399997167,119.2737551999744,66.20120501124656,66.20120501124656,66.20120501124656
medium_30c_2v_seed1,Medium,30,2,1,85.84531245414958,82.89231981078764,53.68570947355334,37.46227028735302,35.23439855936248,48.22646449999593,194.848694100001,1225.605076899752,85.84531245414958,85.84531245414958,85.84531245414958
medium_30c_2v_seed2,Medium,30,2,2,88.50122369710377,83.94660525496488,55.544974662071205,37.23818457903545,33.832970977958524,68.72639530000743,140.60361679999914,443.0751496995799,88.50122369710377,88.50122369710377,88.50122369710377
medium_30c_2v_seed3,Medium,30,2,3,85.90042791417227,80.51547563954927,80.3132238669551,6.504279644333839,0.251196147060728,74.70192060001136,117.66423239999858,370.14070239989087,85.90042791417227,85.90042791417227,85.90042791417227
medium_40c_3v_seed1,Medium,40,3,1,116.89621761127222,113.6738505180191,82.19391577571201,29.686419753083516,27.693207011859787,42.38228489999892,220.04460220000328,945.6257116002962,116.89621761127222,116.89621761127222,116.89621761127222
medium_40c_3v_seed2,Medium,40,3,2,102.66192574611205,75.09196392696859,73.55249758405293,28.354648474107293,2.0501079774832927,280.34447149999323,2155.3843337000035,9218.335642000195,102.66192574611205,102.66192574611205,102.66192574611205
medium_40c_3v_seed3,Medium,40,3,3,105.71390455041106,75.67117611556928,74.27678346877133,29.73792446257486,1.8426998473875424,104.81346550000308,390.8321721999964,1543.0236850990914,105.71390455041106,105.71390455041106,105.71390455041106
medium_50c_3v_seed1,Medium,50,3,1,124.8957510993679,121.67617034975832,91.49164185585073,26.745592984136536,24.80726374535139,149.183229199989,611.5317676000013,4127.302029900253,124.8957510993679,124.8957510993679,124.8957510993679
medium_50c_3v_seed2,Medium,50,3,2,124.9210585724813,124.36214638857761,96.57914625797193,22.687857946756765,22.340399339680015,153.4490725999931,509.10695119999946,1519.8545389999636,124.9210585724813,124.9210585724813,124.9210585724813
medium_50c_3v_seed3,Medium,50,3,3,128.4148877119989,119.42057960114151,117.17934061439995,8.749411612458317,1.8767611028410556,123.50847889999568,491.83596469999975,1920.7665853998624,128.4148877119989,128.4148877119989,128.4148877119989
medium_60c_4v_seed1,Medium,60,4,1,170.88972999210435,133.96758510685288,131.26917079779932,23.184868509146586,2.014229268148186,206.91746029999922,2144.911262700003,2616.117253600154,170.88972999210435,170.88972999210435,170.88972999210435
medium_60c_4v_seed2,Medium,60,4,2,163.0336588345449,153.36287485959696,97.57239312641379,40.15199448757059,36.37808810265138,325.8647745000053,2716.90730910001,16135.392635999247,169.74027704651334,169.74027704651334,169.74027704651334
medium_60c_4v_seed3,Medium,60,4,3,154.3545417488164,122.52786611006832,120.1688498560543,22.14751280101172,1.9252895924057707,239.2641619999922,2121.7224845999954,2991.112542600371,154.3545417488164,154.3545417488164,154.3545417488164
medium_80c_5v_seed1,Medium,80,5,1,194.6906614644596,163.27410632597315,131.719851478544,32.34403207233994,19.32593940182516,280.8194313999993,2199.568891799994,6527.6755460998975,194.6906614644596,194.6906614644596,194.6906614644596
medium_80c_5v_seed2,Medium,80,5,2,204.485339635481,164.23680049426716,163.66684678602715,19.961574224449336,0.3470316680090841,219.09879440000805,1541.8545576000033,3607.7860190002248,204.485339635481,204.485339635481,204.485339635481
medium_80c_5v_seed3,Medium,80,5,3,197.83961626528992,191.35016406853373,158.26148768420603,20.0051583844624,17.29221218356348,335.4015300000028,1233.0363470000011,5667.398135700263,197.83961626528992,197.83961626528992,197.83961626528992
medium_100c_7v_seed1,Medium,100,7,1,312.2012454054581,304.0075900812685,197.82639440874127,36.63497589453154,34.92715285303978,355.4795354999951,1391.753510300001,5738.276311799884,312.2012454054581,312.2012454054581,312.2012454054581
medium_100c_7v_seed2,Medium,100,7,2,323.4759719102651,242.899230791646,213.45679265024327,34.011546084956834,12.121256228537773,416.3536102999933,3019.9414289999986,5999.691797500476,323.4759719102651,323.4759719102651,323.4759719102651
medium_100c_7v_seed3,Medium,100,7,3,329.23414380675763,244.92522625452492,241.11307806697553,26.765469923892315,1.5564538801682355,276.9274323999998,2000.748651599999,4109.37857399974,329.23414380675763,329.23414380675763,329.23414380675763
