experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,1224.1522278784055,0.0,710.0865262998268,0.0,0.0,0.0,13.0,0.0,1.1538461538461537,0.0,29.0,0.0,15.0,0.0,0.5172413793103449,0.0,5064.0,0.0,20.0,0.0,0.0039494470774091624,0.0,198.0,0.0,376.11163723049737,0.0,11.39923769615506,0.0,638.6413529517531,0.0,0.0,0.0,0.0,0.0,0.1617445898400695,0.0,0.3072425378683021,0.0,0.009311944574010399,0.0,0.521700927717618,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1358.607374408879,0.0,2.804383098037592,0.0,1224.1522+/-0.0000,710.0865+/-0.0000,0.0000+/-0.0000,13.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,1199.7125624912148,0.0,730.4930054999422,0.0,0.0,0.0,18.0,0.0,1.0555555555555556,0.0,48.0,0.0,19.0,0.0,0.3958333333333333,0.0,12693.0,0.0,28.0,0.0,0.002205940282045222,0.0,176.0,0.0,367.9084581574193,0.0,14.007899933410554,0.0,641.796204400385,0.0,0.0,0.0,0.0,0.0,0.1467018063347893,0.0,0.3066638373723901,0.0,0.011676046722660812,0.0,0.5349583095701598,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1330.2675285968223,0.0,9.571288745933227,0.0,1199.7126+/-0.0000,730.4930+/-0.0000,0.0000+/-0.0000,18.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,1220.5741149684002,0.0,925.5797824999318,0.0,0.0,0.0,19.0,0.0,1.3157894736842106,0.0,72.0,0.0,25.0,0.0,0.3472222222222222,0.0,35276.0,0.0,37.0,0.0,0.0010488717541671392,0.0,198.0,0.0,358.5263584211208,0.0,14.450613470040532,0.0,649.5971430772389,0.0,0.0,0.0,0.0,0.0,0.16221874409087078,0.0,0.293735836295695,0.0,0.011839193780063612,0.0,0.5322062258333706,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1342.386531661262,0.0,10.303912157061855,0.0,1220.5741+/-0.0000,925.5798+/-0.0000,0.0000+/-0.0000,19.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,1205.4891868776772,0.0,1211.5756260000635,0.0,0.0,0.0,25.0,0.0,1.4,0.0,100.0,0.0,35.0,0.0,0.35,0.0,67837.0,0.0,43.0,0.0,0.0006338723705352536,0.0,176.0,0.0,345.9761211054563,0.0,21.138641087855646,0.0,662.3744246843653,0.0,0.0,0.0,0.0,0.0,0.1459988209897224,0.0,0.2870006009772388,0.0,0.017535322023589928,0.0,0.549465256009449,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1319.569431759173,0.0,8.352896915305598,0.0,1205.4892+/-0.0000,1211.5756+/-0.0000,0.0000+/-0.0000,25.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,1203.5716618123488,0.0,2204.1832014000975,0.0,0.0,0.0,26.0,0.0,1.3076923076923077,0.0,136.0,0.0,34.0,0.0,0.25,0.0,160158.0,0.0,57.0,0.0,0.00035589855018169556,0.0,176.0,0.0,299.03382586330156,0.0,22.228745488371143,0.0,706.309090460676,0.0,0.0,0.0,0.0,0.0,0.14623142566764796,0.0,0.24845535612978276,0.0,0.018468983770271646,0.0,0.5868442344322976,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1268.4147664640125,0.0,3.859835510956121,0.0,1203.5717+/-0.0000,2204.1832+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,316.2954530990661,0.0,215.88973330007866,0.0,0.0,0.0,7.0,0.0,1.0,0.0,12.0,0.0,7.0,0.0,0.5833333333333334,0.0,2149.0,0.0,5.0,0.0,0.002326663564448581,0.0,66.0,0.0,112.85614671325925,0.0,5.064198494608376,0.0,132.3751078911985,0.0,0.0,0.0,0.0,0.0,0.2086656616569455,0.0,0.3568060988784175,0.0,0.016010974691508546,0.0,0.4185172647731285,0.0,0.0,0.0,0.0,0.0,75.0,0.0,398.3499916847589,0.0,1.994260462270293,0.0,316.2955+/-0.0000,215.8897+/-0.0000,0.0000+/-0.0000,7.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,315.80115796640007,0.0,191.2831007000059,0.0,0.0,0.0,5.0,0.0,1.2,0.0,20.0,0.0,6.0,0.0,0.3,0.0,4313.0,0.0,10.0,0.0,0.002318571759795966,0.0,88.0,0.0,113.05059010872839,0.0,4.212216268326408,0.0,110.53835158934524,0.0,0.0,0.0,0.0,0.0,0.2786563563182464,0.0,0.3579802899923391,0.0,0.013338191333594067,0.0,0.3500251623558203,0.0,0.0,0.0,0.0,0.0,75.0,0.0,419.35139656247065,0.0,1.576788770545612,0.0,315.8012+/-0.0000,191.2831+/-0.0000,0.0000+/-0.0000,5.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,307.53757324673734,0.0,366.67502800002694,0.0,0.0,0.0,7.0,0.0,1.1428571428571428,0.0,30.0,0.0,8.0,0.0,0.26666666666666666,0.0,21427.0,0.0,9.0,0.0,0.00042003080225883234,0.0,66.0,0.0,89.18672761158248,0.0,4.7607049916949125,0.0,147.59014064345993,0.0,0.0,0.0,0.0,0.0,0.2146079235236997,0.0,0.29000270331205347,0.0,0.015480075951159957,0.0,0.47990929721308684,0.0,0.0,0.0,0.0,0.0,75.0,0.0,377.4257041373812,0.0,1.5046798207676997,0.0,307.5376+/-0.0000,366.6750+/-0.0000,0.0000+/-0.0000,7.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,322.13867339113943,0.0,713.6418463999871,0.0,0.0,0.0,8.0,0.0,1.125,0.0,43.0,0.0,9.0,0.0,0.20930232558139536,0.0,47951.0,0.0,15.0,0.0,0.0003128193364059144,0.0,88.0,0.0,109.67251243653719,0.0,5.641571321454182,0.0,118.82458963314805,0.0,0.0,0.0,0.0,0.0,0.2731742794915864,0.0,0.34045124505548974,0.0,0.017512865692484583,0.0,0.3688616097604392,0.0,0.0,0.0,0.0,0.0,75.0,0.0,415.0625522726259,0.0,1.194387323773995,0.0,322.1387+/-0.0000,713.6418+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,311.3601029956373,0.0,1176.1096026999876,0.0,0.0,0.0,6.0,0.0,1.5,0.0,57.0,0.0,9.0,0.0,0.15789473684210525,0.0,80462.0,0.0,18.0,0.0,0.00022370808580447914,0.0,66.0,0.0,109.26730466428779,0.0,6.152549564778203,0.0,129.9402487665713,0.0,0.0,0.0,0.0,0.0,0.21197320840083603,0.0,0.35093547186364726,0.0,0.019760237440775805,0.0,0.41733108229474086,0.0,0.0,0.0,0.0,0.0,75.0,0.0,392.0048066091416,0.0,1.2542157482751337,0.0,311.3601+/-0.0000,1176.1096+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
