experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,1203.5716618123488,0.0,2018.9365562000312,0.0,0.0,0.0,26.0,0.0,1.3076923076923077,0.0,136.0,0.0,34.0,0.0,0.25,0.0,160158.0,0.0,57.0,0.0,0.00035589855018169556,0.0,176.0,0.0,299.03382586330156,0.0,22.228745488371143,0.0,706.309090460676,0.0,0.0,0.0,0.0,0.0,0.14623142566764796,0.0,0.24845535612978276,0.0,0.018468983770271646,0.0,0.5868442344322976,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1268.4147664640125,0.0,3.859835510956121,0.0,1203.5717+/-0.0000,2018.9366+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,1845.727112528279,0.0,1849.3294488999527,0.0,0.0,0.0,24.0,0.0,1.2916666666666667,0.0,136.0,0.0,31.0,0.0,0.22794117647058823,0.0,160158.0,0.0,56.0,0.0,0.0003496547159679816,0.0,198.0,0.0,395.2396759832478,0.0,17.473342387157864,0.0,1235.0140941578732,0.0,0.0,0.0,0.0,0.0,0.10727479628815735,0.0,0.2141376551823244,0.0,0.009466915379068611,0.0,0.6691206331504497,0.0,0.0,0.0,0.0,0.0,74.0,0.0,2133.4444520610946,0.0,5.126187360773236,0.0,1845.7271+/-0.0000,1849.3294+/-0.0000,0.0000+/-0.0000,24.0000+/-0.0000
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2443.0321529402518,0.0,1850.055531800026,0.0,0.0,0.0,24.0,0.0,1.25,0.0,136.0,0.0,30.0,0.0,0.22058823529411764,0.0,160158.0,0.0,56.0,0.0,0.0003496547159679816,0.0,198.0,0.0,462.33783781749264,0.0,19.45775322089125,0.0,1763.2365619018676,0.0,0.0,0.0,0.0,0.0,0.08104682525839946,0.0,0.18924754521182097,0.0,0.007964591541488042,0.0,0.7217410379882914,0.0,0.0,0.0,0.0,0.0,74.0,0.0,2968.6951380635746,0.0,5.939515343176408,0.0,2443.0322+/-0.0000,1850.0555+/-0.0000,0.0000+/-0.0000,24.0000+/-0.0000
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,3644.963936992182,0.0,2019.0011344000231,0.0,0.0,0.0,24.0,0.0,1.2916666666666667,0.0,136.0,0.0,31.0,0.0,0.22794117647058823,0.0,160158.0,0.0,56.0,0.0,0.0003496547159679816,0.0,198.0,0.0,530.3211987831171,0.0,18.717940963756693,0.0,2897.924797245308,0.0,0.0,0.0,0.0,0.0,0.05432152510221796,0.0,0.14549422379765362,0.0,0.005135288383457288,0.0,0.7950489627166711,0.0,0.0,0.0,0.0,0.0,74.0,0.0,4601.666312555321,0.0,7.38518826338683,0.0,3644.9639+/-0.0000,2019.0011+/-0.0000,0.0000+/-0.0000,24.0000+/-0.0000
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,6789.820017713006,0.0,2409.176696700044,0.0,0.0,0.0,28.0,0.0,1.2857142857142858,0.0,136.0,0.0,36.0,0.0,0.2647058823529412,0.0,160158.0,0.0,56.0,0.0,0.0003496547159679816,0.0,198.0,0.0,406.80162887761287,0.0,24.711298366889306,0.0,6160.307090468504,0.0,0.0,0.0,0.0,0.0,0.029161303169077484,0.0,0.059913462774619265,0.0,0.0036394629463554966,0.0,0.9072857711099478,0.0,0.0,0.0,0.0,0.0,74.0,0.0,8407.672882213024,0.0,13.845173740188672,0.0,6789.8200+/-0.0000,2409.1767+/-0.0000,0.0000+/-0.0000,28.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,311.3601029956373,0.0,1173.819250700064,0.0,0.0,0.0,6.0,0.0,1.5,0.0,57.0,0.0,9.0,0.0,0.15789473684210525,0.0,80462.0,0.0,18.0,0.0,0.00022370808580447914,0.0,66.0,0.0,109.26730466428779,0.0,6.152549564778203,0.0,129.9402487665713,0.0,0.0,0.0,0.0,0.0,0.21197320840083603,0.0,0.35093547186364726,0.0,0.019760237440775805,0.0,0.41733108229474086,0.0,0.0,0.0,0.0,0.0,75.0,0.0,392.0048066091416,0.0,1.2542157482751337,0.0,311.3601+/-0.0000,1173.8193+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,443.60413037872274,0.0,1107.7337523000315,0.0,0.0,0.0,9.0,0.0,1.7777777777777777,0.0,57.0,0.0,16.0,0.0,0.2807017543859649,0.0,80462.0,0.0,19.0,0.0,0.00023613631279361687,0.0,66.0,0.0,105.42300997614699,0.0,9.11597184725402,0.0,263.06514855532174,0.0,0.0,0.0,0.0,0.0,0.14878130179638574,0.0,0.2376511009627956,0.0,0.020549790281419036,0.0,0.5930178069593997,0.0,0.0,0.0,0.0,0.0,75.0,0.0,607.2865474879176,0.0,5.234818894271651,0.0,443.6041+/-0.0000,1107.7338+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,559.2333581081789,0.0,1361.7157839001156,0.0,0.0,0.0,10.0,0.0,1.5,0.0,57.0,0.0,15.0,0.0,0.2631578947368421,0.0,80462.0,0.0,20.0,0.0,0.0002485645397827546,0.0,88.0,0.0,134.55464590765672,0.0,9.495664854047128,0.0,327.183047346475,0.0,0.0,0.0,0.0,0.0,0.15735828116136297,0.0,0.24060554320800778,0.0,0.0169797897717866,0.0,0.5850563858588426,0.0,0.0,0.0,0.0,0.0,75.0,0.0,867.8844503489174,0.0,1.944665800952757,0.0,559.2334+/-0.0000,1361.7158+/-0.0000,0.0000+/-0.0000,10.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,790.2161233124597,0.0,981.8211036000866,0.0,0.0,0.0,8.0,0.0,1.0,0.0,57.0,0.0,8.0,0.0,0.14035087719298245,0.0,80462.0,0.0,20.0,0.0,0.0002485645397827546,0.0,88.0,0.0,157.34097919534392,0.0,5.5266809807682336,0.0,539.3484631363475,0.0,0.0,0.0,0.0,0.0,0.11136193935289256,0.0,0.19911132480541613,0.0,0.006993885365944282,0.0,0.682532850475747,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1316.9358694144892,0.0,3.323413324863619,0.0,790.2161+/-0.0000,981.8211+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,1311.4490495973473,0.0,1437.6053359999787,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,57.0,0.0,11.0,0.0,0.19298245614035087,0.0,80462.0,0.0,20.0,0.0,0.0002485645397827546,0.0,88.0,0.0,146.77888377052918,0.0,7.508115090418577,0.0,1069.1620507363996,0.0,0.0,0.0,0.0,0.0,0.06710134871577247,0.0,0.11192114845452404,0.0,0.005725052828185574,0.0,0.8152524500015179,0.0,0.0,0.0,0.0,0.0,75.0,0.0,2386.047697528871,0.0,4.391605028545681,0.0,1311.4490+/-0.0000,1437.6053+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
