experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,1162.238391588447,5560.5167216998525,0.0,22.0,1.5454545454545454,139.0,34.0,0.2446043165467626,272294.0,70.0,0.0002570750732663959,198.0,340.92819955304816,15.326113352232817,607.9840786831661,0.0,0.0,0.17036091858004337,0.29333758204897786,0.013186720954284093,0.5231147784166947,0.0,0.0,73.33333333333333,1410.7290830702168,6.185189422901504
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,1124.0031569282678,5205.94758570008,0.0,22.0,1.7272727272727273,139.0,38.0,0.2733812949640288,272294.0,65.0,0.0002387125680330819,198.0,276.2682364326103,19.064454471474644,630.6704660241829,0.0,0.0,0.17615608886820597,0.2457895555984113,0.016961210788388657,0.5610931447449942,0.0,0.0,73.33333333333333,1349.7387633288138,0.4414546006815273
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,1150.2030115665225,5262.5910155000165,0.0,26.0,1.3846153846153846,139.0,36.0,0.2589928057553957,272294.0,64.0,0.0002350400669864191,198.0,325.57765748386265,21.011763469902657,605.6135906127573,0.0,0.0,0.17214352423780677,0.28306103723414977,0.018267873808890157,0.5265275647191534,0.0,0.0,73.33333333333333,1380.8026569525125,4.007532947003871
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,1157.6860220908889,5151.692926499993,0.0,27.0,1.3333333333333333,139.0,36.0,0.2589928057553957,272294.0,62.0,0.00022769506489309348,198.0,335.391296680335,22.617035565824462,601.6776898447292,0.0,0.0,0.1710308289309683,0.28970834084580815,0.01953641586254621,0.5197244143606772,0.0,0.0,73.33333333333333,1394.0164865008865,4.141482505448968
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,1166.5615529061677,4768.362061199965,0.0,22.0,1.4090909090909092,139.0,31.0,0.22302158273381295,272294.0,58.0,0.0002130050607064423,198.0,296.0797629473774,20.298443080943535,652.1833468778467,0.0,0.0,0.16972957792646037,0.2538055212001253,0.01740023321562033,0.5590646676577941,0.0,0.0,73.33333333333333,1374.1234476873578,7.3924164807065935
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,1181.499672538568,3572.7247874999885,0.0,21.0,1.1428571428571428,139.0,24.0,0.17266187050359713,272294.0,57.0,0.0002093325596597795,198.0,293.3233679399618,17.39438310071957,672.7819214978865,0.0,0.0,0.16758362664170492,0.24826360494009095,0.014722291935423081,0.5694304764827811,0.0,0.0,73.33333333333333,1374.7139702687602,7.314714290687649
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,1155.1867577423209,4542.224181500031,0.0,32.0,1.0,139.0,32.0,0.2302158273381295,272294.0,54.0,0.00019831505651979111,176.0,328.0107196087023,27.831289410497178,623.3447487231213,0.0,0.0,0.15235631712397021,0.28394605236798365,0.0240924588374699,0.5396051716705761,0.0,0.0,73.33333333333333,1383.920321877243,1.8657721836075334
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,1228.8024139148465,2305.710776499938,0.0,25.0,1.48,139.0,37.0,0.26618705035971224,313104.0,70.0,0.00022356788798610046,176.0,330.48552977325596,18.720291914151694,703.5965922274387,0.0,0.0,0.14322888530083605,0.268949284303862,0.015234582632785236,0.5725872477625166,0.0,0.0,60.0,1869.7175621359058,2.8882429215615635
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,1235.0685990133925,2073.695584699977,0.0,26.0,1.3846153846153846,139.0,36.0,0.2589928057553957,313104.0,69.0,0.00022037406101487047,198.0,355.45184764551846,19.86380899860325,661.7529423692706,0.0,0.0,0.16031498182219836,0.28779927522201065,0.016083162517831817,0.535802580437959,0.0,0.0,60.0,1907.011320044734,9.525112529588307
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,1218.602739626851,1549.2854830001015,0.0,29.0,1.4137931034482758,139.0,41.0,0.2949640287769784,313104.0,64.0,0.00020440492615872042,176.0,311.2308814718564,24.104231208702675,707.2676269462918,0.0,0.0,0.14442770746920613,0.2553997880943207,0.019780220760117154,0.580392283676356,0.0,0.0,60.0,1839.3286401412672,4.449154136253017
