instance,size,n_customers,n_vehicles,seed,E_avg_cost,D_avg_cost,C_avg_cost,delta_cost_D_vs_E_pct,delta_cost_C_vs_E_pct,delta_cost_C_vs_D_pct,E_worst_cost,D_worst_cost,C_worst_cost,E_avg_fail,D_avg_fail,C_avg_fail,delta_fail_D_vs_E_pct,delta_fail_C_vs_E_pct,E_cost_std,D_cost_std,C_cost_std,E_online_time,D_online_time,C_online_time,online_time_overhead_pct,C_win_rate_vs_E,D_win_rate_vs_E,paired_cost_C_vs_E,trial_count
small_8c_1v_seed1,Small,8,1,1,35.48525621903077,35.48525621903077,35.48525621903077,0.0,0.0,0.0,50.51813167685953,50.51813167685953,50.51813167685953,1.25,1.25,1.25,0.0,0.0,5.194194063767781,5.194194063767781,5.194194063767781,5.804397165775299e-05,8.798201568424702e-05,0.04606461796909571,51669.582442995794,0.0,0.0,0.0,100
small_8c_1v_seed2,Small,8,1,2,41.60113536672409,42.17297972017257,42.17297972017257,-1.374588333725839,-1.374588333725839,0.0,65.58419497735876,65.58419497735876,65.58419497735876,1.52,1.46,1.46,3.947365824101435,3.947365824101435,8.04907678857893,8.545362163855664,8.545362163855664,0.00012294204905629157,0.0002846330031752586,0.05217478700913489,18166.72213263846,6.0,6.0,0.571844353448479,100
small_8c_1v_seed3,Small,8,1,3,37.207264694080735,37.207264694080735,37.207264694080735,0.0,0.0,0.0,51.27348856506378,51.27348856506378,51.27348856506378,2.38,2.38,2.38,0.0,0.0,5.0969587446953835,5.0969587446953835,5.0969587446953835,0.00034990000538527967,0.0006554839992895722,0.10539014803711325,15953.8791731656,0.0,0.0,0.0,100
small_10c_1v_seed1,Small,10,1,1,50.54445408615702,50.54445408615702,50.54445408615702,0.0,0.0,0.0,72.06513415364275,72.06513415364275,72.06513415364275,2.82,2.82,2.82,0.0,0.0,9.750609473001806,9.750609473001806,9.750609473001806,0.0004199989978224039,0.0007953689666464925,0.12729614903219044,15884.694829111482,0.0,0.0,0.0,100
small_10c_1v_seed2,Small,10,1,2,68.4965376029225,68.4965376029225,67.15233224866398,0.0,1.9624427763793533,1.9624427763793533,110.97902729079141,110.97902729079141,110.19673749689241,3.32,3.32,3.19,0.0,3.9156614711863007,14.596063343383681,14.596063343383681,14.486590470916541,0.0003915159497410059,0.0007911859778687358,0.2284734020475298,28741.00557576238,21.0,0.0,-1.3442053542585173,100
small_10c_1v_seed3,Small,10,1,3,44.17618252423608,44.17618252423608,43.96521056976766,0.0,0.4775694557868949,0.4775694557868949,69.16975437884949,69.16975437884949,67.8369277060531,2.38,2.38,2.29,0.0,3.781511016171836,9.286854898975573,9.286854898975573,8.920967727883875,0.00020621105562895536,0.0005375510035082698,0.11668503402732312,21566.66355966252,22.0,0.0,-0.2109719544684215,100
small_12c_1v_seed1,Small,12,1,1,47.56516843953532,47.56516843953532,47.56516843953532,0.0,0.0,0.0,78.23190338441336,78.23190338441336,78.23190338441336,2.35,2.35,2.35,0.0,0.0,9.005618023047,9.005618023047,9.005618023047,0.00036608695052564144,0.0007321329740807414,0.2564933880465105,34886.06625464131,0.0,0.0,0.0,100
small_12c_1v_seed2,Small,12,1,2,60.193389299469544,63.51366652692907,63.86857072333782,-5.516016403297608,-6.10562300385478,-0.5587839843229191,106.73958559935772,106.73958559935772,106.12761830173136,2.99,2.89,2.95,3.344480486795826,1.3377921947183304,14.905672990356182,16.460695465648556,16.490945723262936,0.00020643804222345352,0.0003925499599426985,0.238084559016861,60396.90846151443,39.0,17.0,3.675181423868239,100
small_12c_1v_seed3,Small,12,1,3,42.903077201795234,42.903077201795234,42.824473325342225,0.0,0.18321267745736414,0.18321267745736414,70.65072996445252,70.65072996445252,70.65072996445252,2.45,2.45,2.44,0.0,0.4081630987089487,8.286355756155514,8.286355756155514,8.230817286658988,0.0003806310286745429,0.0007897620229050517,0.6299365740269423,79562.09248551381,8.0,0.0,-0.07860387645301742,100
small_15c_1v_seed1,Small,15,1,1,59.776440619182694,60.72745692660987,61.08485313104786,-1.590955061185069,-2.1888431266770425,-0.5885248988277393,93.37527679174622,100.20083388248455,100.20083388248455,3.78,3.74,3.78,1.0582007782537517,0.0,10.9554182229357,11.892297959756117,12.105231317450302,0.0006877800216898323,0.001500278036110103,1.2356018420681358,82203.39832784426,11.0,4.0,1.3084125118651742,100
small_15c_1v_seed2,Small,15,1,2,81.26220130799817,81.26220130799817,81.3602661179366,0.0,-0.1206770286307558,-0.1206770286307558,127.58171134915885,127.58171134915885,127.58171134915885,4.32,4.32,4.34,0.0,-0.46296285579562535,19.05467640048257,19.05467640048257,19.086997162688977,0.0007686510123312473,0.0015192869957536459,0.713424436985515,46827.02358029784,3.0,0.0,0.09806480993843465,100
small_15c_1v_seed3,Small,15,1,3,58.87585470140843,58.87585470140843,56.58379603737474,0.0,3.8930367561676498,3.8930367561676498,83.03711092904109,83.03711092904109,82.6148843837349,3.56,3.56,3.15,0.0,11.516850697513853,11.004865542826895,11.004865542826895,10.806487014543428,0.0006319339573383332,0.0012507930817082524,0.5494031020672991,43789.370383606685,55.00000000000001,0.0,-2.292058664033684,100
small_16c_1v_seed1,Small,16,1,1,57.00418945973593,57.00418945973593,56.698481540778715,0.0,0.5362902654254037,0.5362902654254037,88.8710267560669,88.8710267560669,88.84894620590936,2.87,2.87,2.84,0.0,1.0452958030328299,13.263168291447888,13.263168291447888,13.312394193506233,0.00021186495199799539,0.0004509000200778246,1.3674681769683956,302504.36295906664,42.0,0.0,-0.30570791895722627,100
small_16c_1v_seed2,Small,16,1,2,75.02985360191674,75.02985360191674,74.7099444033799,0.0,0.4263758799719633,0.4263758799719633,150.29241146047866,150.29241146047866,145.63536545508472,3.74,3.74,3.72,0.0,0.534759215305023,21.52441708484149,21.52441708484149,20.978312458622998,0.00057712497189641,0.0011497599817812442,0.7247642550244927,62881.44413248012,21.0,0.0,-0.3199091985368541,100
