size,A_avg_cost_mean,A_avg_cost_min,A_avg_cost_max,B_avg_cost_mean,B_avg_cost_min,B_avg_cost_max,delta_avg_cost_pct_mean,delta_avg_cost_pct_min,delta_avg_cost_pct_max,A_worst_cost_mean,A_worst_cost_min,A_worst_cost_max,B_worst_cost_mean,B_worst_cost_min,B_worst_cost_max,delta_worst_cost_pct_mean,delta_worst_cost_pct_min,delta_worst_cost_pct_max,A_avg_fail_mean,A_avg_fail_min,A_avg_fail_max,B_avg_fail_mean,B_avg_fail_min,B_avg_fail_max,delta_fail_pct_mean,delta_fail_pct_min,delta_fail_pct_max,A_cost_std_mean,A_cost_std_min,A_cost_std_max,B_cost_std_mean,B_cost_std_min,B_cost_std_max,delta_std_pct_mean,delta_std_pct_min,delta_std_pct_max,offline_overhead_pct_mean,offline_overhead_pct_min,offline_overhead_pct_max,A_win_rate_mean,A_win_rate_min,A_win_rate_max
Small,55.42170921533879,35.22435105511034,81.62390399164109,63.15152176668552,35.21304489637012,96.19078091697824,11.14538348149215,-3.8875370364382182,23.862941518224233,80.66203932950637,45.04851637193396,117.74261064201406,91.68862027270801,48.452049735088764,136.44156807401905,11.014953691796475,-12.143479572790215,24.454081129385546,2.8047619047619046,1.22,5.19,4.242857142857143,1.22,6.95,30.910362878891448,-2.602229515899802,49.928050370064696,9.431511766917051,4.380336969053148,15.682800032594503,11.23781579112357,4.997598079605482,18.416331142106824,15.108592325936657,-9.384094972471825,27.92619699437113,60.632838324903915,19.071429655110308,110.18460620249901,67.19047619047619,0.0,89.0
Medium,334.4280878593347,144.8585820834406,748.0435084658819,389.59961903039124,160.8450021383078,877.0049406094066,14.11389009506626,-0.013761871275771902,22.22985256965981,444.99049994185134,203.0553367865466,985.6053209904119,501.15033780089993,224.42858879016978,1072.3686960471132,11.411708068705057,0.9925564491329423,20.51674719960566,12.024444444444445,4.53,22.62,18.384444444444444,8.94,33.35,35.87289314366317,22.848358314717384,52.13054831092037,39.022081217099625,20.955045950386694,74.68124922629039,43.539023427212214,23.939592657549365,81.98106142773207,10.786371117863188,-9.559661320071438,27.987385877064074,119.92422292280897,66.73889319780484,156.96435411841176,83.88888888888889,55.00000000000001,95.0
Large,2232.516256179602,1142.2031884300484,3335.4059869006,2515.3406582463813,1292.7089671292667,3633.5104307589486,11.41796361648094,6.293022714406376,16.07189960637455,2643.4369047177042,1382.4001387302164,3912.208988526784,2922.224694376704,1546.9012872532926,4212.780900022945,9.589872512274967,5.147441339564067,14.232760560802246,48.80277777777778,28.83,65.84,64.83055555555556,40.84,89.49,25.10451120988162,16.65757883509298,30.31926701676117,159.14981134015636,91.13673178184335,221.2052120544469,167.35227395677856,114.06754588479836,227.73872300142895,5.343876046326525,-8.082642653665681,22.00801346705082,177.4854044640081,156.4706494646914,197.1039443362441,90.05555555555556,75.0,99.0
